item_id,title,item_category,media_type,score,item_content
1,"[Playlist] 나만 알고 싶은 밴드, 유다빈 밴드 노래 모음",음악,long,85,유다빈 밴드의 노래 모음을 소개하는 플레이리스트 영상
2,[오늘 이 뉴스] 뭘 사과하신 건지 어리둥절 돌직구 질문에 반응,뉴스/정치,short,78,최근 이슈에 대해 돌직구 질문과 반응을 다루는 뉴스 콘텐츠
3,개초딩 공포게임,게임,long,83,초등학생들도 쉽게 즐길 수 있는 공포게임 플레이 영상
4,서머 시즌의 T1과 월즈에서의 T1이 달랐던 이유,게임,long,90,T1 팀의 성적 차이를 분석하는 스포츠 해설 영상
5,이게 삼국지야 미연시야,게임,long,88,삼국지와 미연시가 결합된 게임을 리뷰하고 플레이하는 영상
6,환장의 미국 선물 단타쇼,교육,short,80,재미있는 미국 선물 언박싱 및 리뷰 영상
7,고고학이란 무엇인가?,교육,long,85,고고학의 정의와 이집트 유물에 대해 설명하는 교육적 콘텐츠
8,뉴진스가 하면 히로캐미도 한다 이거지…라고 버니즈 캐미가 말했어요,엔터테인먼트,short,83,뉴진스 팬과 관련된 재미있는 에피소드를 소개하는 영상
9,애플의 AI가 알고보면 더 엄청난 이유! 쉽게 설명해 드림,과학기술,short,86,애플의 AI 기술을 쉽게 설명하는 영상
10,유병재는 아주 유명한 암기핑임,인물/블로그,short,77,유병재의 특징을 암기에 관련하여 소개하는 짧은 영상
11,마지막 투어를 끝낸 기분이요? 아 솔직히…,음악,short,84,투어를 마친 가수의 솔직한 소감을 인터뷰하는 콘텐츠
12,사람도 기절시켜 버립니다! 아마존 강에 살고 있는 초대형 전기뱀장어,노하우/스타일,long,90,아마존 강에서 전기뱀장어를 잡고 경험을 공유하는 생태 다큐 영상
13,캐논 렌즈 소니에 끼울 수 있습니다,과학기술,short,75,캐논 렌즈를 소니 카메라에 사용할 수 있는 방법을 설명하는 튜토리얼
14,헬창판 흑백 요리사.. 오늘의 단백질은 뭔가요?,스포츠,short,82,헬스인을 위한 고단백 요리 레시피를 소개하는 짧은 영상
15,헬스 엑셀 방송 | 헬창의 삶3,스포츠,long,78,헬스 관련 기록 및 팁을 엑셀로 관리하는 헬스인의 일상 콘텐츠
16,주우재가 알려주는 가격대별 데님 추천,노하우/스타일,short,88,주우재가 추천하는 가격대별 데님 제품을 소개하는 패션 영상
17,전세계 컴퓨터에 영역전개해서 블루스킨 띄운 기업,과학기술,long,85,세계적으로 블루스크린을 유발한 기업과 사건을 분석하는 영상
18,빵빵이의 복권담청~,영화/애니메이션,short,74,복권에 당첨된 빵빵이의 반응과 에피소드를 담은 영상
19,가장 받고 싶은 집들이 선물 월드컵,엔터테인먼트,short,80,집들이 선물로 인기 있는 아이템을 월드컵 방식으로 소개하는 영상
20,양배추전으로 살 10kg 그냥 뺍니다,노하우/스타일,short,89,다이어트를 위한 양배추전을 만드는 방법을 소개하는 영상
21,돌고 돌아 한신포차에서 부활한 해물떡찜,노하우/스타일,long,81,유명한 한신포차에서 해물 떡찜을 즐기는 경험을 담은 영상
22,성공률 100% 돼지고기 김치찌개,노하우/스타일,short,87,완벽한 돼지고기 김치찌개 레시피를 소개하는 짧은 요리 영상
23,매일 반복되는 강아지의 하루,애완동물/동물,short,85,강아지의 하루 일과를 귀엽게 담은 짧은 영상
24,"귀,위가 터질거 같은 1일 4식 마카오 음식 일주",여행/이벤트,long,82,마카오에서 하루 4끼를 먹으며 음식 문화를 체험하는 브이로그
